trial,state,objective_value(-RMSE),best_value(-RMSE),best_RMSE,best_params
0,COMPLETE,-4881.402037817773,-4881.402037817773,4881.402037817773,"{'bootstrap_type': 'Bernoulli', 'depth': 7, 'learning_rate': 0.11207, 'rsm': 0.883, 'l2_leaf_reg': 17.363, 'random_strength': 0.12481, 'iterations': 524, 'min_data_in_leaf': 1202, 'subsample': 0.85985}"
0,COMPLETE,-4988.428837968782,-4988.428837968782,4988.428837968782,"{'bootstrap_type': 'Bernoulli', 'depth': 7, 'learning_rate': 0.11207, 'rsm': 0.883, 'l2_leaf_reg': 17.363, 'random_strength': 0.12481, 'iterations': 524, 'min_data_in_leaf': 1202, 'subsample': 0.85985}"
1,COMPLETE,-5079.297803495244,-4988.428837968782,4988.428837968782,"{'bootstrap_type': 'Bernoulli', 'depth': 7, 'learning_rate': 0.11207, 'rsm': 0.883, 'l2_leaf_reg': 17.363, 'random_strength': 0.12481, 'iterations': 524, 'min_data_in_leaf': 1202, 'subsample': 0.85985}"
2,COMPLETE,-5219.603861979361,-4988.428837968782,4988.428837968782,"{'bootstrap_type': 'Bernoulli', 'depth': 7, 'learning_rate': 0.11207, 'rsm': 0.883, 'l2_leaf_reg': 17.363, 'random_strength': 0.12481, 'iterations': 524, 'min_data_in_leaf': 1202, 'subsample': 0.85985}"
3,COMPLETE,-5032.826280210708,-4988.428837968782,4988.428837968782,"{'bootstrap_type': 'Bernoulli', 'depth': 7, 'learning_rate': 0.11207, 'rsm': 0.883, 'l2_leaf_reg': 17.363, 'random_strength': 0.12481, 'iterations': 524, 'min_data_in_leaf': 1202, 'subsample': 0.85985}"
4,COMPLETE,-5088.232211809455,-4988.428837968782,4988.428837968782,"{'bootstrap_type': 'Bernoulli', 'depth': 7, 'learning_rate': 0.11207, 'rsm': 0.883, 'l2_leaf_reg': 17.363, 'random_strength': 0.12481, 'iterations': 524, 'min_data_in_leaf': 1202, 'subsample': 0.85985}"
5,PRUNED,-5105.804914001092,-4988.428837968782,4988.428837968782,"{'bootstrap_type': 'Bernoulli', 'depth': 7, 'learning_rate': 0.11207, 'rsm': 0.883, 'l2_leaf_reg': 17.363, 'random_strength': 0.12481, 'iterations': 524, 'min_data_in_leaf': 1202, 'subsample': 0.85985}"
6,COMPLETE,-5095.457009013685,-4988.428837968782,4988.428837968782,"{'bootstrap_type': 'Bernoulli', 'depth': 7, 'learning_rate': 0.11207, 'rsm': 0.883, 'l2_leaf_reg': 17.363, 'random_strength': 0.12481, 'iterations': 524, 'min_data_in_leaf': 1202, 'subsample': 0.85985}"
7,COMPLETE,-5057.829696627358,-4988.428837968782,4988.428837968782,"{'bootstrap_type': 'Bernoulli', 'depth': 7, 'learning_rate': 0.11207, 'rsm': 0.883, 'l2_leaf_reg': 17.363, 'random_strength': 0.12481, 'iterations': 524, 'min_data_in_leaf': 1202, 'subsample': 0.85985}"
8,COMPLETE,-4814.396291926222,-4814.396291926222,4814.396291926222,"{'bootstrap_type': 'Bernoulli', 'depth': 6, 'learning_rate': 0.11344, 'rsm': 0.81977, 'l2_leaf_reg': 38.836, 'random_strength': 0.10168, 'iterations': 859, 'min_data_in_leaf': 1076, 'subsample': 0.85235}"
