sale_date,gross_sale_price,mileage,make,model,model_year,color,grade,drivable
20220103,37500,32041,ALFAROMEO,Stelvio,2018,Golden White Pearl Tri-Coat,,
20220413,23000,25087,DODGE,JOURNEY,2019,,4.3,
20220316,13500,100793,KIA,SEDONA,2017,,2.8,
20220623,10400,152121,DODGE,CHARGER,2018,,1.8,
20220311,3000,100339,DODGE,JOURNEY,2015,,1.5,
20220111,36000,22707,JEEP,GRAND CHEROKEE,2020,,3.8,
20220308,8500,103456,DODGE,GRAND CARAVAN,2018,,1.6,
20220524,15000,54771,JEEP,RENEGADE,2017,,1.3,
20221021,17250,73235,RAM,1500,2017,,3.7,
20220222,6800,100407,CHRYSLER,200,2014,,2.4,
20220309,22400,19376,JEEP,RENEGADE,2020,,2.9,
20220201,8200,134629,JEEP,CHEROKEE,2014,,2.5,
20221213,8000,94297,JEEP,CHEROKEE,2016,,3.5,
20220511,1100,142212,CHEVROLET,TRAVERSE,2012,,2,
20220616,10800,83910,FORD,FOCUS FWD 4C,2016,,4.3,
20220331,24200,82659,JEEP,GRAND CHEROKEE,2018,,4.3,
20220309,7000,120853,CADILLAC,CTS 4X2 V6,2011,,3.8,
20220413,18600,106583,RAM,PROMAST 1500 V6,2017,,2.3,
20221228,27750,26063,DODGE,CHALLENG AWD V6,2020,,4.6,
20220308,15000,77603,JEEP,RENEGADE FWD 4C,2015,,4.4,
20221123,7600,111412,DODGE,GRAND CARAVAN,2016,,3.2,
20220804,13000,108709,JEEP,CHEROKEE 4X4 V6,2015,,3.6,
20221220,10700,90042,DODGE,JOURNEY FWD 4C,2018,,3.5,
20220804,39100,24459,DODGE,DURANGO AWD V6,2021,,3.7,
20221116,16200,123722,DODGE,DURANGO AWD V6,2015,,2.6,
20220714,18100,65553,JEEP,CHEROKEE FWD V6,2017,,4.1,
20220308,13800,56629,HONDA,FIT,2018,,2.9,
20220119,17200,60195,DODGE,JOURNEY FWD 4C,2018,,3.7,
20220530,15700,93237,GMC,TERRAIN FWD 4C,2017,,4.4,
20220208,3100,113441,BUICK,ENCLAVE AWD,2012,,1,
20220908,27250,42717,CHRYSLER,PACIFICA,2019,,4.2,
20220126,17750,45026,DODGE,JOURNEY FWD 4C,2019,,2.4,
20220414,31750,7168,DODGE,CHARGER 4X2 V6,2021,,4.8,
20220113,11200,96976,HONDA,ACCORD 4C,2013,,2.8,
20221104,35200,35198,RAM,1500,2020,,2.5,
20220215,32700,31012,JEEP,GRAND CHEROKEE,2018,,3.6,
20220509,29800,24341,DODGE,CHALLENGER,2019,,4.8,
20221129,23100,31873,JEEP,CHEROKEE 4X4 4C,2019,,4.8,
20220105,36750,52648,RAM,1500 4X4 V8 CR,2019,,3.3,
20220907,32000,47116,JEEP,WRANG UNLTD,2018,,4.4,
20220111,13000,28253,FIAT,500E,2018,,4.6,
