iter	RMSE
0	1.040013089
1	0.9730472661
2	0.9141534175
3	0.8612770234
4	0.8140325604
5	0.7724739122
6	0.7351232005
7	0.7021559722
8	0.672988811
9	0.6467695945
10	0.6237060872
11	0.6032644386
12	0.5856003699
13	0.570059467
14	0.5560637183
15	0.5435451676
16	0.5324370471
17	0.5224798119
18	0.5135197522
19	0.5058892169
20	0.4987781465
21	0.492552465
22	0.4869498543
23	0.4816690118
24	0.476648024
25	0.4726756495
26	0.4688057836
27	0.4650700704
28	0.4620976546
29	0.4593706522
30	0.4568288368
31	0.4538660381
32	0.4513072338
33	0.449021219
34	0.4467328853
35	0.4449838961
36	0.4431395084
37	0.4413031491
38	0.4398809499
39	0.4380623508
40	0.4367538817
41	0.435050216
42	0.4338868625
43	0.4324355962
44	0.4312664612
45	0.4302741241
46	0.4289817227
47	0.4279187448
48	0.4268980766
49	0.4260192234
50	0.4252284268
51	0.4243346737
52	0.4230610642
53	0.4220016593
54	0.4210089806
55	0.4203163123
56	0.4193499052
57	0.4184444197
58	0.4176929085
59	0.4170528157
60	0.4162793362
61	0.415603728
62	0.4149398236
63	0.414383598
64	0.4138127048
65	0.4129555468
66	0.4124538053
67	0.4116306783
68	0.4108869386
69	0.4102389158
70	0.4098190391
71	0.4091949918
72	0.4087238439
73	0.4077286533
74	0.4071437721
75	0.4063512776
76	0.4058893235
77	0.4052969774
78	0.4046911647
79	0.4043185184
80	0.4037827724
81	0.403379358
82	0.4028115461
83	0.4023439669
84	0.4019555658
85	0.4014140388
86	0.4010117776
87	0.4004871176
88	0.3999792501
89	0.399582458
90	0.3991974111
91	0.3988288056
92	0.3983336506
93	0.3977681798
94	0.3970877255
95	0.3966537163
96	0.3963315344
97	0.3959404807
98	0.3956763819
99	0.3951938581
100	0.3949332857
101	0.3945989519
102	0.3942235145
103	0.3936453129
104	0.3933247922
105	0.3929225345
106	0.3926779259
107	0.3923249667
108	0.3919286404
109	0.3915239969
110	0.3911423439
111	0.3909535908
112	0.3906736672
113	0.3902587651
114	0.3899459027
115	0.3896980145
116	0.389178653
117	0.3888846455
118	0.3885004316
119	0.3882719193
120	0.3878262384
121	0.3875533689
122	0.387167738
123	0.3868418676
124	0.386641309
125	0.3863812911
126	0.386140448
127	0.3858934813
128	0.3856173141
129	0.3854104471
130	0.3852508754
131	0.3850851859
132	0.3848641033
133	0.3845519378
134	0.3843097083
135	0.3840077584
136	0.3837498611
137	0.3835499219
138	0.3832817816
139	0.3830949775
140	0.3828923974
141	0.3826672458
142	0.3824186121
143	0.3822466449
144	0.3820474311
145	0.3818700361
146	0.3816091529
147	0.3814435606
148	0.3813165799
149	0.3810972401
150	0.3808974032
151	0.3806123788
152	0.3803560049
153	0.3801537931
154	0.3799645225
155	0.3796537713
156	0.3794010381
157	0.3792631379
158	0.3789064024
159	0.3786707379
160	0.378537664
161	0.3782617062
162	0.3781514054
163	0.3780237547
164	0.3778397702
165	0.3774765093
166	0.3773264102
167	0.3770974896
168	0.3769250272
169	0.3767181131
170	0.3765867523
171	0.376406476
172	0.3762100393
173	0.3760979292
174	0.3759262494
175	0.3757468676
176	0.375584822
177	0.3754469203
178	0.3753190675
179	0.375194801
180	0.3750217499
181	0.3748134132
182	0.3746793645
183	0.3745339792
184	0.3744265892
185	0.3741790403
186	0.3740460113
187	0.373871476
188	0.3737180818
189	0.3735953147
190	0.3734080683
191	0.3732575399
192	0.3730547819
193	0.3728432554
194	0.37272221
195	0.3725177389
196	0.3723665934
197	0.3722303473
198	0.3720858616
199	0.3718623313
200	0.371759633
201	0.3716235929
202	0.3714510754
203	0.3713416251
204	0.37122616
205	0.371091858
206	0.3709353283
207	0.3708181035
208	0.3706962214
209	0.3705438956
210	0.3703986472
211	0.3702856723
212	0.370110665
213	0.3699982623
214	0.3698798656
215	0.3697595081
216	0.3696513864
217	0.3695706901
218	0.3694663601
219	0.3693625874
220	0.3692675717
221	0.3691793107
222	0.3690641236
223	0.3689361661
224	0.3688241718
225	0.3686738516
226	0.3685557041
227	0.368456883
228	0.3682849597
229	0.3681750518
230	0.3680817272
231	0.3680024569
232	0.3678885385
233	0.3677821657
234	0.367658869
235	0.3675594033
236	0.3674670969
237	0.3673426831
238	0.3672433074
239	0.3671702933
240	0.3671010562
241	0.3670048669
242	0.36690528
243	0.3668304914
244	0.3667349461
245	0.3666280197
246	0.3665602884
247	0.366454218
248	0.366310875
249	0.3662065061
250	0.3660222351
251	0.3659300643
252	0.3658340821
253	0.3657479575
254	0.3656337493
255	0.3655404984
256	0.3654574744
257	0.3653436013
258	0.3652414765
259	0.3651495367
260	0.3650362385
261	0.3649376557
262	0.3648635464
263	0.3647840445
264	0.3646879538
265	0.3645801746
266	0.3644944262
267	0.3644237572
268	0.3643274881
269	0.364243343
270	0.3641641503
271	0.3640605811
272	0.3639723331
273	0.3638736561
274	0.3637870945
275	0.3637117129
276	0.3636357402
277	0.3635289496
278	0.363405968
279	0.3633228551
280	0.3632450879
281	0.3631717988
282	0.3630476486
283	0.3628982714
284	0.3627931806
285	0.3626672264
286	0.362581436
287	0.3624568279
288	0.3623917312
289	0.36232514
290	0.3622498183
291	0.3621937313
292	0.3621055272
293	0.3620050609
294	0.361923858
295	0.3618318626
296	0.3617788513
297	0.361676268
298	0.3615921224
299	0.3615196311
300	0.3614059226
301	0.3613357403
302	0.3612663561
303	0.3611962671
304	0.3611222413
305	0.361056336
306	0.3609804381
307	0.3609384374
308	0.3608906975
309	0.3608299039
310	0.3607657238
311	0.3606816467
312	0.3606166774
313	0.3605294471
314	0.3604532197
315	0.3603787926
316	0.3602950456
317	0.3602227934
318	0.3601637751
319	0.3601149752
320	0.3600593454
321	0.3599770013
322	0.3598955885
323	0.3598546154
324	0.3598183418
325	0.3597743811
326	0.359691203
327	0.3596166675
328	0.3595482717
329	0.3594819054
330	0.3594513251
331	0.3593851009
332	0.3593204482
333	0.3592550745
334	0.3592005328
335	0.3591283842
336	0.3590531875
337	0.3589698786
338	0.3589118076
339	0.3588305302
340	0.3587852851
341	0.3587191792
342	0.3586666874
343	0.3585781185
344	0.3585128515
345	0.3584469582
346	0.3583602163
347	0.3582846822
348	0.3582250964
349	0.3581600367
350	0.3581067239
351	0.3580617445
352	0.357979417
353	0.3579132778
354	0.3578563072
355	0.3578147389
356	0.3577635219
357	0.3577169267
358	0.3576445188
359	0.3575861995
360	0.3575254431
361	0.3574411204
362	0.3574133618
363	0.3573374846
364	0.3572592689
365	0.3572062931
366	0.357096046
367	0.3570597379
368	0.3569934965
369	0.3568834039
370	0.3568215378
371	0.3567654725
372	0.3567056368
373	0.3566460888
374	0.3565883148
375	0.3565454037
376	0.3564436205
377	0.356387356
378	0.3563300839
379	0.3562918136
380	0.3562285192
381	0.3561668074
382	0.3561224351
383	0.3560531476
384	0.3560015155
385	0.3559448382
386	0.3558994412
387	0.3558426251
388	0.3557768958
389	0.3557186114
390	0.3556856315
391	0.3556290789
392	0.3555938476
393	0.3555311118
394	0.3554771395
395	0.3554285205
396	0.3553280519
397	0.3552888028
398	0.3552465435
399	0.3551891047
400	0.3551344494
401	0.3550914412
402	0.35504028
403	0.3549797333
404	0.3549440734
405	0.3549177645
406	0.3548763745
407	0.3548376956
408	0.3547740321
409	0.3547137484
410	0.3546472817
411	0.354604042
412	0.3545662503
413	0.354506782
414	0.3544458068
415	0.3543755303
416	0.3543222376
417	0.3542691202
418	0.3542202428
419	0.3541475217
420	0.3540911547
421	0.3540545523
422	0.3540094613
423	0.3539533209
424	0.3539080297
425	0.3538584929
426	0.3538027633
427	0.3537456755
428	0.3536834194
429	0.3536502913
430	0.3535834283
431	0.3535070634
432	0.3534681075
433	0.3534452616
434	0.3533910746
435	0.3533611196
