iter	Passed	Remaining
0	482	919408
1	998	951271
2	1481	940400
3	2048	974445
4	2469	939432
5	2900	919039
6	3380	917448
7	3848	913535
8	4359	919417
9	4875	924954
10	5335	919575
11	5824	919813
12	6330	922314
13	6763	914550
14	7280	918341
15	7722	912676
16	8202	911956
17	8722	915368
18	9239	918129
19	9699	915104
20	10118	908754
21	10569	905636
22	10951	897056
23	11436	897267
24	11805	888742
25	12208	883261
26	12664	881833
27	13115	880170
28	13470	872348
29	13904	869955
30	14344	868047
31	14767	865279
32	15163	861082
33	15582	858393
34	15932	852175
35	16307	847532
36	16688	843458
37	17222	847065
38	17634	844636
39	18049	842475
40	18467	840501
41	18856	837301
42	19226	833450
43	19647	831894
44	20022	828496
45	20403	825453
46	20831	824377
47	21233	822340
48	21640	820559
49	22010	817458
50	22360	813751
51	22761	811980
52	23190	811231
53	23648	811488
54	24036	809360
55	24410	806852
56	24859	806828
57	25273	805689
58	25666	803940
59	26003	800484
60	26407	799142
61	26822	798197
62	27234	797160
63	27700	797685
64	28119	796857
65	28599	797763
66	29027	797180
67	29467	796931
68	29930	797291
69	30402	797848
70	30804	796588
71	31231	795978
72	31657	795329
73	32168	796813
74	32548	795048
75	33049	796240
76	33489	795915
77	33916	795301
78	34397	795921
79	34786	794430
80	35252	794712
81	35661	793678
82	36057	792403
83	36530	792797
84	37047	794132
85	37572	795571
86	38105	797142
87	38592	797722
88	38983	796314
89	39403	795517
90	39854	795329
91	40314	795338
92	40831	796431
93	41327	797085
94	41807	797429
95	42253	797096
96	42652	795888
97	43092	795446
98	43485	794159
99	43989	794885
100	44401	793943
101	44842	793537
102	45295	793324
103	45723	792686
104	46167	792316
105	46624	792178
106	46997	790611
107	47453	790445
108	47879	789789
109	48334	789611
110	48813	789815
111	49195	788441
112	49582	787182
113	50036	786970
114	50593	788370
115	51102	789005
116	51596	789388
117	52034	788894
118	52463	788281
119	52869	787311
120	53390	788060
121	53856	787985
122	54366	788542
123	54825	788343
124	55224	787285
125	55677	786999
126	56083	786046
127	56537	785779
