trial,state,objective_value(-RMSE),best_value(-RMSE),best_RMSE,best_params
0,PRUNED,,,,{}
0,PRUNED,,,,{}
1,PRUNED,,,,{}
2,PRUNED,,,,{}
3,PRUNED,,,,{}
4,PRUNED,,,,{}
5,PRUNED,,,,{}
6,PRUNED,,,,{}
7,PRUNED,,,,{}
8,PRUNED,,,,{}
9,PRUNED,,,,{}
10,PRUNED,,,,{}
11,PRUNED,,,,{}
12,PRUNED,,,,{}
13,PRUNED,,,,{}
14,PRUNED,,,,{}
15,PRUNED,-6393.684335936946,,,{}
16,PRUNED,-5937.235899240278,,,{}
17,PRUNED,,,,{}
18,PRUNED,,,,{}
19,PRUNED,,,,{}
20,PRUNED,,,,{}
21,PRUNED,,,,{}
22,PRUNED,,,,{}
23,PRUNED,,,,{}
24,PRUNED,,,,{}
25,PRUNED,,,,{}
26,PRUNED,,,,{}
27,PRUNED,,,,{}
28,PRUNED,,,,{}
29,PRUNED,,,,{}
30,PRUNED,,,,{}
31,PRUNED,,,,{}
32,PRUNED,,,,{}
33,PRUNED,,,,{}
34,PRUNED,,,,{}
35,PRUNED,,,,{}
36,PRUNED,,,,{}
37,PRUNED,,,,{}
38,PRUNED,,,,{}
39,PRUNED,,,,{}
40,PRUNED,,,,{}
41,PRUNED,,,,{}
42,PRUNED,,,,{}
43,PRUNED,,,,{}
44,PRUNED,,,,{}
45,PRUNED,-6106.570930717477,,,{}
46,PRUNED,,,,{}
47,PRUNED,,,,{}
48,PRUNED,,,,{}
49,PRUNED,,,,{}
50,PRUNED,,,,{}
51,PRUNED,,,,{}
52,PRUNED,,,,{}
53,PRUNED,,,,{}
54,PRUNED,,,,{}
55,PRUNED,,,,{}
56,PRUNED,,,,{}
57,PRUNED,,,,{}
58,PRUNED,,,,{}
59,PRUNED,,,,{}
60,PRUNED,,,,{}
61,PRUNED,,,,{}
62,PRUNED,,,,{}
63,PRUNED,,,,{}
64,PRUNED,,,,{}
65,PRUNED,,,,{}
66,PRUNED,,,,{}
67,PRUNED,,,,{}
68,PRUNED,,,,{}
69,PRUNED,,,,{}
